Prompt,Error Count,Behavior Tree,Model Name,syntactic_correct,success
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,phi-2,False,False
form vertical line,4,Could not generate proper XML.,phi-2,False,False
"Find the target and change color to green, then return home and change color to white.",2,"<BehaviorTree>
          <Root>
            <Condition node=""is_target_detected"">
              <Action node=""task_completed""/>
              <Sequence>
                <Decorator node=""change_color_to_green"" />
                <Decorator node=""wander"" />
                <Decorator node=""avoid_obstacle"" />
                <Condition node=""is_path_clear"">
                  <Action node=""continue_movement_agent""/>
                  <Sequence>
                    <Decorator node=""change_color_to_white"" />
                    <Decorator node=""form_line"" />
                    <Condition node=""is_target_reached"">
                      <Action node=""task_completed""/>
                    </Condition>
                  </Sequence>
                </Condition>
              </Sequence>
            </Condition>
          </Root>
        </BehaviorTree>",llama-2-13b,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,"<BehaviorTree>
          <Root>
            <Sequence>
              <Action node=""change_color_to_green"">
                <Condition node=""is_target_detected"" />
              </Action>
              <Action node=""find_food"">
                <Condition node=""is_path_clear"" />
              </Action>
            </Sequence>
          </Root>
        </BehaviorTree>",llama-2-13b,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,llama-2-13b,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,llama-2-13b,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,llama-2-13b,False,False
form vertical line,4,Could not generate proper XML.,llama-2-13b,False,False
"Find the target and change color to green, then return home and change color to white.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,llama-2-13b-chat,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
form vertical line,4,Could not generate proper XML.,llama-2-13b-chat,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
             <Node id=""root"">
                 <Sequence>
                     <Inverter>
                         <Condition node=""is_target_detected""/>
                         <Action node=""change_color_to_green""/>
                     </Inverter>
                     <TaskCompleted/>
                     <Sequence>
                         <ContinueMovementAgent/>
                         <FormLine/>
                         <IsPathClear/>
                         <AvoidObstacle/>
                         <IsTargetReached/>
                         <ChangeColorToWhite/>
                     </Sequence>
                 </Sequence>
             </Node>
         </BehaviorTree>",llama-3-8b-instruct,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
             <Sequence name=""Find food"">
                 <Inverter>
                     <Condition node=""is_path_clear""/>
                     <Action node=""wander""/>
                 </Inverter>
                 <Selector>
                     <Sequence>
                         <Condition node=""is_target_detected""/>
                         <Action node=""change_color_to_green""/>
                         <ContinueMovementAgent/>
                     </Sequence>
                     <Sequence>
                         <Condition node=""!is_target_detected""/>
                         <Action node=""avoid_obstacle""/>
                     </Sequence>
                 </Selector>
             </Sequence>
             <Sequence name=""Return to nest"">
                 <Inverter>
                     <Condition node=""is_agent_in_nest""/>
                     <Action node=""form_line""/>
                 </Inverter>
                 <Selector>
                     <Sequence>
                         <Condition node=""!is_agent_in_nest""/>
                         <ContinueMovementAgent/>
                     </Sequence>
                     <Sequence>
                         <Condition node=""is_agent_in_nest""/>
                         <TaskCompleted/>
                     </Sequence>
                 </Selector>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
             <Node id=""root"">
                 <Sequence>
                     <Condition node_id=""is_obstacle_detected""/>
                     <Action node_id=""change_color_to_green""/>
                     <Selector>
                         <Condition node_id=""is_path_clear""/>
                         <Sequence>
                             <Action node_id=""wander""/>
                             <Condition node_id=""is_target_reached""/>
                             <Action node_id=""continue_movement_agent""/>
                         </Sequence>
                         <Action node_id=""task_completed""/>
                     </Selector>
                 </Sequence>
             </Node>
         </BehaviorTree>",llama-3-8b-instruct,False,False
Form a line and then change color to green.,0,"<BehaviorTree>
             <Node id=""root"">
                 <Sequence>
                     <Action node_id=""form_line""/>
                     <Action node_id=""change_color_to_green""/>
                 </Sequence>
             </Node>
         </BehaviorTree>",llama-3-8b-instruct,False,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
             <Node id=""root"">
                 <Sequence>
                     <Action node_id=""change_color_to_green""/>
                     <Action node_id=""form_line""/>
                     <Action node_id=""change_color_to_white""/>
                 </Sequence>
             </Node>
         </BehaviorTree>",llama-3-8b-instruct,False,False
form vertical line,0,"<BehaviorTree>
             <Node id=""root"">
                 <Sequence>
                     <Action node_id=""agent_movement_freeze""/>
                     <Condition node_id=""is_line_formed""/>
                     <Action node_id=""change_color_to_green""/>
                 </Sequence>
             </Node>
         </BehaviorTree>",llama-3-8b-instruct,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>                
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>                
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                    <Action>agent_movement_freeze</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_obstacle_detected</Condition>
                        <Action>change_color_to_green</Action>
                    </Sequence>
                    <Action>avoid_obstacle</Action>
                </Selector>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_white</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_line_formed</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>agent_movement_freeze</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>form_line</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Selector>    
                <Sequence>
                    <Action>form_line</Action>
                    <Sequence>
                        <Condition>is_line_formed</Condition>
                        <Action>change_color_to_white</Action>
                    </Sequence>
                </Sequence>
                <Action>change_color_to_green</Action>
            </Selector>
        </BehaviorTree>",golden_label,True,True
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Action>form_line</Action>   
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"Find the target and change color to green, then return home and change color to white.",4,Could not generate proper XML.,Mistral-7B-Instruct-v3,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,Mistral-7B-Instruct-v3,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,Mistral-7B-Instruct-v3,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,Mistral-7B-Instruct-v3,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,Mistral-7B-Instruct-v3,False,False
form vertical line,4,Could not generate proper XML.,Mistral-7B-Instruct-v3,False,False
"Find the target and change color to green, then return home and change color to white.",1,"<BehaviorTree>
           <sequence name=""Root"">
             <seq>
               <condition ref=""is_target_detected""/>
               <if>
                 <then>
                   <action name=""change_color_to_green""/>
                   <seq>
                     <condition ref=""is_agent_in_nest""/>
                     <if>
                       <then>
                         <action name=""task_completed""/>
                       </then>
                       <else>
                         <sequence name=""FindTargetAndReturnHome"">
                           <seq>
                             <condition ref=""is_target_reached""/>
                             <if>
                               <then>
                                 <action name=""task_completed""/>
                               </then>
                               <else>
                                 <sequence name=""MoveToTarget"">
                                   <seq>
                                     <condition ref=""is_path_clear""/>
                                     <if>
                                       <then>
                                         <action name=""continue_movement_agent""/>
                                       </then>
                                       <else>
                                         <sequence name=""AvoidObstacle"">
                                           <seq>
                                             <condition ref=""is_obstacle_detected""/>
                                             <if>
                                               <then>
                                                 <action name=""avoid_obstacle""/>
                                                 <sequence name=""MoveToTarget"">...</sequence> <!-- Recursive call to MoveToTarget if obstacle is not avoided -->
                                               </then>
                                             </if>
                                           </seq>
                                         </sequence>
                                       </else>
                                     </if>
                                   </seq>
                                 </sequence>
                               </else>
                             </if>
                           </seq>
                         </sequence>
                       </else>
                     </if>
                   </seq>
                 </then>
                 <else>
                   <action name=""wander""/>
                 </else>
               </if>
             </seq>
           </sequence>
         </BehaviorTree>",mistral-7b-instruct-v2,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,mistral-7b-instruct-v2,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,mistral-7b-instruct-v2,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,mistral-7b-instruct-v2,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,mistral-7b-instruct-v2,False,False
form vertical line,4,Could not generate proper XML.,mistral-7b-instruct-v2,False,False
