Prompt,Error Count,Behavior Tree,Model Name,syntactic_correct,success
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_obstacle_detected</Condition>
                    <Action>change_color_to_green</Action>
                    <Action>task_completed</Action>
                </Selector>
                <Selector>
                    <Condition>is_target_reached</Condition>
                    <Action>continue_movement_agent</Action>
                    <Action>change_color_to_white</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",llama-2-7b-32k-instruct,True,False
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_target_detected</Condition>
                    <Action>wander</Action>
                </Selector>
                <Selector>
                    <Condition>is_line_formed</Condition>
                    <Action>change_color_to_green</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",llama-2-7b-32k-instruct,True,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_target_detected</Condition>
                    <Action>change_color_to_green</Action>
                    <Action>task_completed</Action>
                </Selector>
                <Selector>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",llama-2-7b-32k-instruct,True,False
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition is_target_detected=""true"">
                        <Action change_color_to_green</Action>
                        <Action task_completed</Action>
                    </Condition>
                    <Action wander</Action>
                </Selector>
            </Sequence>
         </BehaviorTree>",llama-2-7b-32k-instruct,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition is_target_detected/>
                        <Action change_color_to_green/>
                        <Action task_completed/>
                    </Sequence>
                    <Sequence>
                    <Condition is_agent_in_nest/>
                    <Action continue_movement_agent/>
                </Sequence>
            <Sequence>
                <Condition is_path_clear/>
                <Action wander/>
            </Sequence>
        </BehaviorTree>",llama-2-7b-chat,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition is_target_detected/>
                        <Action change_color_to_green/>
                        <Action task_completed/>
                    </Sequence>

                    <Sequence>
                    <Condition is_agent_in_nest/>

                    <Action continue_movement_agent/>
                </Selector>

            <Sequence>

                <Condition is_path_clear/>


                <Action wander/>

        </BehaviorTree>",llama-2-7b-chat,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition is_obstacle_detected = ""Action node: Determine if any obstacles are detected in the vicinity of the agent.""</Condition>
                        <Action>avoid_obstacle</Action>
                    </Sequence>
                    <Sequence>
                        <Condition is_target_detected = ""Action node: Check if the target is within a detectable distance from the agent's position.""</Condition>
                        <Action>change_color_to_green</Action>
                </Sequence>
                <Sequence>
                    <Task>task_completed</Task>
                    <Action>wander</Action>
                </Sequence>
            </Sequence>
         </BehaviorTree>",llama-2-7b-chat,False,False
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition is_line_formed=""True"">
                        <Action>form_line</Action>
                        <Action>change_color_to_green</Action>
                </Selector>
            </Sequence>
         </BehaviorTree>",llama-2-7b-chat,False,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition is_target_detected/>
                        <Action change_color_to_green/>
                        <Action task_completed/>
                    </Sequence>

                    <Sequence>
                    <Condition is_agent_in_nest/>

                    <Action form_line/>
                </Selector>

            </Sequence>

         </BehaviorTree>",llama-2-7b-chat,False,False
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition is_agent_in_nest=""True"">
                        <Action change_color_to_green=""True"">True</Action>
                    </Selector>
                    <Action continue_movement_agent=""True"">True</Action>
            </Sequence>

         </BehaviorTree>",llama-2-7b-chat,False,False
"Find the target and change color to green, then return home and change color to white.",4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                </Selector>  
            <Sequence>
                <Condition>is_agent_in_nest</Condition>
                <Action>change_color_to_white</Action>
             </Sequence> 
         </Selector>  
      <Sequence>
            <Condition>is_target_reached</Condition>
         <Action>task_completed</Action>
      </Sequence>    
      </BehaviorTree>",phi-2,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                </Selector>   
            <Sequence>
                <Condition>is_agent_in_nest</Condition>
                <Action>change_color_to_white</Action>
              </Sequence> 
            <Selector>
                 <Sequence>
                     <Condition>is_path_clear</Condition>
                     <Action>task_completed</Action>
                </Selector> 
            <Selector>
                 <Sequence>
                     <Condition>is_target_reached</Condition>
                     <Action>task_completed</Action>
                </Selector> 
            <Selector>
                 <Sequence>
                     <Condition>is_obstacle_detected</Condition>
                     <Action>wander</Action>
                </Selector> 
            </Sequence>
        </BehaviorTree>",phi-2,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_obstacle_detected</Condition>
                        <Action>change_color_to_green</Action>
                   </Selector> 
                <Sequence>
                    <Condition>is_target_reached</Condition>
                    <Action>change_color_to_white</Action>
                </Selector>    
            </Sequence> 
         </Sequence>
      </BehaviorTree>",phi-2,False,False
Form a line and then change color to green.,4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_line_formed</Condition>
                        <Action>change_color_to_green</Action>
                   </Selector> 
            </Sequence>
        </BehaviorTree>",phi-2,False,False
"change color to green, Form a line, and change color to white.",4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                </Selector>  
            </Sequence> 
         <Sequence>
                <Condition>is_agent_in_nest</Condition>
               <Action>change_color_to_white</Action>
            </Selector>  
         </Sequence> 
      </BehaviorTree>",phi-2,False,False
form vertical line,4,Could not generate proper XML.,phi-2,False,False
"Find the target and change color to green, then return home and change color to white.",4,"<BehaviorTree>
            <Sequence>
               <Condition node=""is_target_detected"">
                  <Action node=""change_color_to_green""/>
               </Condition>
               <Condition node=""task_completed"">
                  <Action node=""return_home""/>
               </Condition>
            </Sequence>
         </BehaviorTree>",llama-2-13b,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,"<BehaviorTree>
            <Sequence>
               <Condition node=""is_target_reached"">
                  <Action node=""change_color_to_green""/>
                  <Action node=""task_completed""/>
               </Condition>
               <Selector>
                  <Condition node=""is_line_formed"">
                     <Action node=""wander""/>
                  </Condition>
                  <Condition node=""is_obstacle_detected"">
                     <Action node=""avoid_obstacle""/>
                  </Condition>
               </Selector>
            </Sequence>
         </BehaviorTree>",llama-2-13b,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,"<BehaviorTree>
            <Sequence>
               <Condition node=""is_obstacle_detected"">
                  <Action node=""change_color_to_green""/>
               </Condition>
               <Condition node=""is_target_reached"">
                  <Action node=""task_completed""/>
               </Condition>
            </Sequence>
         </BehaviorTree>",llama-2-13b,False,False
Form a line and then change color to green.,4,"<BehaviorTree>
            <Sequence>
               <Condition node=""is_target_reached"">
                  <Action node=""task_completed""/>
               </Condition>
               <Selector>
                  <Condition node=""is_line_formed"">
                     <Action node=""change_color_to_green""/>
                  </Condition>
                  <Condition node=""avoid_obstacle"">
                     <Action node=""wander""/>
                  </Condition>
               </Selector>
            </Sequence>
         </BehaviorTree>",llama-2-13b,False,False
"change color to green, Form a line, and change color to white.",4,"<BehaviorTree>
            <Sequence>
               <Action node=""change_color_to_green""/>
               <Condition node=""is_line_formed"" />
               <Action node=""form_line""/>
               <Condition node=""is_target_reached"" />
               <Action node=""task_completed""/>
            </Sequence>
         </BehaviorTree>",llama-2-13b,False,False
form vertical line,4,"<BehaviorTree>
            <Sequence>
               <Condition node=""is_target_reached"">
                  <Action node=""task_completed""/>
               </Condition>
               <Selector>
                  <Condition node=""is_line_formed"" />
                  <Action node=""change_color_to_green""/>
                  <Action node=""continue_movement_agent""/>
               </Selector>
            </Sequence>
         </BehaviorTree>",llama-2-13b,False,False
"Find the target and change color to green, then return home and change color to white.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,llama-2-13b-chat,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,llama-2-13b-chat,False,False
form vertical line,4,Could not generate proper XML.,llama-2-13b-chat,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
             <Sequence>
                 <Selector>
                     <Condition>is_target_detected</Condition>
                     <Action>change_color_to_green</Action>
                     <Action>task_completed</Action>
                 </Selector>
                 <Sequence>
                     <Condition>is_path_clear</Condition>
                     <Action>wander</Action>
                 </Sequence>
             </Sequence>
             <Sequence>
                 <Condition>is_agent_in_nest</Condition>
                 <Action>change_color_to_white</Action>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,True,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
             <Sequence>
                 <Selector>
                     <Condition>is_target_detected</Condition>
                     <Action>change_color_to_green</Action>
                     <Action>task_completed</Action>
                 </Selector>
                 <Action>wander</Action>
                 <Sequence>
                     <Condition>is_agent_in_nest</Condition>
                     <Action>change_color_to_white</Action>
                     <Action>agent_movement_freeze</Action>
                 </Sequence>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,True,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
             <Sequence>
                 <Selector>
                     <Condition>is_obstacle_detected</Condition>
                     <Action>change_color_to_green</Action>
                     <Action>task_completed</Action>
                 </Selector>
                 <Sequence>
                     <Condition>is_target_detected</Condition>
                     <Action>wander</Action>
                 </Sequence>
             </Sequence>
             <Sequence>
                 <Condition>is_agent_in_nest</Condition>
                 <Action>change_color_to_white</Action>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,True,False
Form a line and then change color to green.,0,"<BehaviorTree>
             <Sequence>
                 <Selector>
                     <Action>form_line</Action>
                     <Condition>is_line_formed</Condition>
                 </Selector>
                 <Action>change_color_to_green</Action>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,True,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
             <Sequence>
                 <Action>change_color_to_green</Action>
                 <Selector>
                     <Condition>is_line_formed</Condition>
                     <Action>form_line</Action>
                 </Selector>
                 <Action>change_color_to_white</Action>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,True,False
form vertical line,0,"<BehaviorTree>
             <Sequence>
                 <Action>form_line</Action>
             </Sequence>
         </BehaviorTree>",llama-3-8b-instruct,True,True
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>                
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>                
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                    <Action>agent_movement_freeze</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_obstacle_detected</Condition>
                        <Action>change_color_to_green</Action>
                    </Sequence>
                    <Action>avoid_obstacle</Action>
                </Selector>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_white</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_line_formed</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>agent_movement_freeze</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>form_line</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Selector>    
                <Sequence>
                    <Action>form_line</Action>
                    <Sequence>
                        <Condition>is_line_formed</Condition>
                        <Action>change_color_to_white</Action>
                    </Sequence>
                </Sequence>
                <Action>change_color_to_green</Action>
            </Selector>
        </BehaviorTree>",golden_label,True,True
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Action>form_line</Action>   
            </Sequence>
        </BehaviorTree>",golden_label,True,True
"Find the target and change color to green, then return home and change color to white.",4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",Mistral-7B-Instruct-v3,True,True
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                    <Action>agent_movement_freeze</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",Mistral-7B-Instruct-v3,True,True
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,"<BehaviorTree>
            <Sequence>
                <Condition>is_obstacle_detected</Condition>
                <Action>change_color_to_green</Action>
                <Selector>
                    <Sequence>
                        <Condition>is_target_reached</Condition>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
                <Action>change_color_to_white</Action>
            </Sequence>
         </BehaviorTree>",Mistral-7B-Instruct-v3,True,False
Form a line and then change color to green.,4,"<BehaviorTree>
            <Sequence>
                <Action>form_line</Action>
                <Action>change_color_to_green</Action>
            </Sequence>
        </BehaviorTree>",Mistral-7B-Instruct-v3,True,False
"change color to green, Form a line, and change color to white.",4,"<BehaviorTree>
            <Sequence>
                <Action>change_color_to_green</Action>
                <Action>form_line</Action>
                <Action>change_color_to_white</Action>
            </Sequence>
        </BehaviorTree>",Mistral-7B-Instruct-v3,True,False
form vertical line,4,"<BehaviorTree>
            <Sequence>
                <Action>change_color_to_white</Action>
                <Action>form_line</Action>
                <Condition>is_line_formed</Condition>
                <TaskCompleted>task_completed</TaskCompleted>
            </Sequence>
        </BehaviorTree>",Mistral-7B-Instruct-v3,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector name=""Find_Target"">
                    <Condition>is_target_detected</Condition>
                    <Action>change_color_to_green</Action>
                    <Action>task_completed</Action>
                </Selector>
                <Sequence name=""Wander_and_Avoid"">
                    <Action>wander</Action>
                    <Condition>is_obstacle_detected</Condition>
                        <Sequence>
                            <Action>avoid_obstacle</Action>
                        </Sequence>
                </Sequence>
            </Sequence>
            <Selector name=""Return_Home"">
                <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                    <TaskCompletion>task_completed</TaskCompletion>
            </Selector>
        </BehaviorTree>",mistral-7b-instruct-v2,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Action>is_target_detected</Action>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Selector>
                <Action>freeze_movement_agent</Action>
            </Sequence>
        </BehaviorTree>",mistral-7b-instruct-v2,True,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Condition>is_obstacle_detected</Condition>
                <Action>change_color_to_green</Action>
                 <Selector name=""Find Goal"">
                    <Sequence>
                        <Condition>is_target_reached</Condition>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Sequence>
                        <Condition>is_path_clear</Condition>
                        <Action>continue_movement_agent</Action>
                    </Sequence>
                </Selector>
                <Action name=""Change Color to White"">
                    <Sequence>
                        <Condition>is_target_reached</Condition>
                        <Action>change_color_to_white</Action>
                    </Sequence>
                </Action>
            </Sequence>
         </BehaviorTree>",mistral-7b-instruct-v2,False,False
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Action>form_line</Action>
                <Action>change_color_to_green</Action>
            </Sequence>
        </BehaviorTree>",mistral-7b-instruct-v2,True,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Action>change_color_to_green</Action>
                <Action>form_line</Action>
                <Action>change_color_to_white</Action>
            </Sequence>
        </BehaviorTree>",mistral-7b-instruct-v2,True,False
form vertical line,0,"<BehaviorTree>
            <Action>form_line</Action>
         </BehaviorTree>",mistral-7b-instruct-v2,True,True
